0 1 2
0 1 3
0 1 4
0 1 5
0 1 6
0 1 7
0 1 8
0 1 9
0 1 10
0 1 11
0 1 12
0 1 13
0 1 14
0 1 15
0 1 16
0 1 17
1 18 19
2 18 19
3 20 3
4 20 21
5 20 22
6 20 23
7 24 25
8 26 27
9 28 29
10 1 7
11 29 30
12 29 28
13 11 31
13 11 32
13 11 25
13 11 33
14 31 11
15 33 11
16 1 7
17 34 21
18 35 3
19 36 37
19 36 37
20 25 11
21 25 24
22 23 21
23 36 38
24 39 21
25 13 3
25 13 40
25 13 8
25 13 35
25 13 41
25 13 4
26 42 43
27 42 43
28 42 43
29 42 43
30 42 44
31 26 45
32 46 21
33 42 3
34 16 1
35 16 1
36 47 48
37 16 8
38 47 48
39 16 8
40 49 42
41 26 21
42 49 21
43 26 32
44 29 22
45 3 8
45 3 13
45 3 50
45 3 35
45 3 51
45 3 52
45 3 18
45 3 53
45 3 20
46 50 3
47 46 1
48 54 17
48 54 17
49 3 50
50 1 46
51 55 56
52 55 50
53 8 3
54 13 3
55 27 42
56 19 57
57 42 27
58 19 58
59 19 50
60 55 23
61 19 21
61 19 23
62 59 2
63 34 24
64 39 27
65 55 21
66 24 34
67 55 42
68 35 3
69 60 23
70 59 2
71 13 3
72 18 3
73 61 33
74 61 23
75 62 42
75 62 63
75 62 64
76 13 3
76 13 35
76 13 4
77 65 50
78 65 23
79 58 21
80 3 66
80 3 67
80 3 8
80 3 35
80 3 68
80 3 69
80 3 17
81 70 21
82 25 24
83 10 7
84 5 71
84 5 72
84 5 73
84 5 74
84 5 11
85 32 11
86 10 21
87 24 25
88 4 13
88 4 3
89 51 3
90 66 27
91 15 27
92 7 10
93 7 1
94 50 75
95 13 15
95 13 40
96 75 50
97 75 50
98 62 15
98 62 3
98 62 20
98 62 8
98 62 33
98 62 35
99 11 5
100 66 3
101 62 3
101 62 15
101 62 20
101 62 8
101 62 33
101 62 35
102 15 62
102 15 62
103 62 3
103 62 15
103 62 20
103 62 8
103 62 33
103 62 35
104 15 62
105 8 62
105 8 62
106 8 62
107 62 3
107 62 15
107 62 20
107 62 8
107 62 33
107 62 35
108 3 62
109 3 62
109 35 62
110 35 62
111 62 3
111 62 20
111 62 8
111 62 33
111 62 35
111 62 15
112 15 62
113 8 62
114 35 62
115 3 62
116 35 62
117 3 62
118 4 16
119 15 61
119 15 12
120 30 32
121 1 46
122 15 62
123 76 19
124 3 62
125 61 15
126 6 7
126 6 1
127 6 7
127 6 1
128 74 5
129 67 3
130 77 27
131 78 23
132 27 77
133 79 43
134 79 43
135 68 48
